activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
0,Summit Mount Baldy,20,20,74.5,80.0,50,85
1,Hike Sandstone Peak in the Santa Monicas,20,20,86.0,85.0,85,90
2,Pickup basketball at the Venice Beach courts,20,20,66.0,70.0,50,85
3,Visit LACMA,20,20,85.5,85.0,85,90
4,LAFC game at BMO Stadium,20,20,75.0,80.0,50,90
5,Rams game at SoFi Stadium,20,20,66.5,75.0,50,85
6,Korean BBQ feast in K-town,20,20,86.25,90.0,50,95
7,Whale watching out of Long Beach,20,20,81.5,85.0,50,90
8,Joshua Tree day trip,20,20,79.75,85.0,50,90
9,Big Bear day trip,20,20,78.35,85.0,50,85
10,Drive PCH up to Malibu,20,20,82.5,85.0,50,90
11,Bowling at Lucky Strike Hollywood,20,20,69.5,70.0,50,85
12,Brewery hop through the Arts District,20,20,70.25,75.0,50,85
13,Rose Bowl Flea Market in Pasadena,20,20,79.55,80.0,50,85
14,Drive-in movie at the Vineland,20,20,82.6,85.0,75,85
15,Comedy show at the Comedy Store,20,20,80.75,85.0,50,85
16,UCB improv show in Hollywood,20,20,81.25,85.0,50,85
17,Tide pooling at Abalone Cove in Palos Verdes,20,20,85.65,85.0,85,90
18,Visit the La Brea Tar Pits,20,20,85.0,85.0,85,85
19,Sunset drive up Mulholland,20,20,85.5,85.0,85,90
20,Sunset at El Matador Beach,20,20,90.0,90.0,85,95
21,Snorkel at Leo Carrillo State Beach,20,20,82.4,85.0,75,85
22,Pier fishing at the Santa Monica Pier,20,20,59.5,57.5,50,80
23,Hike Bridge to Nowhere in the San Gabriels,20,20,84.75,85.0,80,85
24,Topanga State Park hike,20,20,80.25,85.0,50,90
25,Trail run through Eaton Canyon,20,20,77.5,85.0,50,90
26,Sturtevant Falls hike in Sierra Madre,20,20,81.5,85.0,50,90
27,Hike Temescal Canyon,20,20,80.25,85.0,50,90
28,Clippers game at the Intuit Dome,20,20,73.75,80.0,50,85
29,Angels game at Angel Stadium,20,20,62.1,55.0,50,85
30,UCLA basketball at Pauley Pavilion,20,20,66.5,72.5,50,85
31,Mini-golf in Old Pasadena,20,20,73.35,75.0,50,85
32,Sawtelle ramen crawl on the Westside,20,20,87.35,85.0,85,92
33,Thai Town dinner crawl,20,20,87.9,86.5,85,95
34,Olvera Street tacos and walking tour,20,20,87.65,85.0,85,95
35,Petersen Automotive Museum on Wilshire,20,20,84.75,85.0,80,85
36,California Science Center to see the Endeavour,20,20,93.0,95.0,85,95
37,The Huntington gardens in San Marino,20,20,89.2,90.0,85,95
38,Griffith Observatory at night,20,20,91.2,90.0,85,95
39,Day trip up to Santa Barbara,20,20,81.5,85.0,50,85
40,Bottomless brunch in West Hollywood,20,20,59.5,50.0,50,85
41,Wine tasting in Malibu,20,20,73.25,77.5,50,85
42,Bar crawl on Abbot Kinney in Venice,20,20,64.25,67.5,50,80
43,Cannabis tasting at a licensed West Hollywood consumption lounge,20,20,50.0,50.0,50,50
44,Poker night at the Bicycle Casino in Bell Gardens,20,20,52.0,50.0,50,70
45,Day at Hollywood Park Casino,20,20,50.0,50.0,50,50
46,Betting on horses at Santa Anita,20,20,50.0,50.0,50,50
47,Paintball day in Sun Valley,20,20,70.25,75.0,50,85
48,Airsoft battle at Tac City in Fullerton,20,20,65.0,70.0,50,80
49,Off-road OHV day in Hungry Valley,20,20,60.5,50.0,50,80
50,Race car experience at Willow Springs,20,20,85.5,85.0,85,90
51,Cliff jumping at Malibu's coves,20,20,47.25,50.0,10,75
52,Sport fishing for tuna out of San Pedro,20,20,51.75,50.0,50,75
53,Spearfishing trip at Catalina,20,20,65.5,70.0,50,85
54,MMA pay-per-view watch party with cigars and whiskey,20,20,50.0,50.0,50,50
55,Hollywood club crawl on Sunset Strip,20,20,47.5,50.0,25,60
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,50.0,50.0,50,50
57,Bottle service at a Hollywood nightclub,20,20,35.5,50.0,0,50
58,Sunday service at a Calvary Chapel megachurch,20,20,50.0,50.0,50,50
59,Tour the Reagan Presidential Library,20,20,64.25,65.0,50,85
60,Tour the Nixon Presidential Library,20,20,72.5,75.0,50,85
61,Skydiving over Perris,20,20,72.25,85.0,50,85
62,Lambo rental for a Mulholland canyon run,20,20,80.75,85.0,50,90
63,Drive down to Tijuana for tacos and clubbing,20,20,55.0,50.0,50,75
64,Tour Forest Lawn for celebrity graves,20,20,59.0,60.0,50,75
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,50.0,50.0,50,50
66,Boxing sparring class at a Wild Card-style gym,20,20,42.75,50.0,0,80
67,Day-drinking on a Marina del Rey booze cruise,20,20,50.0,50.0,50,50
68,Craps night at the Hustler Casino in Gardena,20,20,48.25,50.0,25,50
69,Pole-dancing fitness class for the bachelor party,20,20,52.25,50.0,40,75
70,Hunting deer in the San Gabriel Mountains,20,20,50.0,50.0,50,50
71,Hunting a at a ranch near Tejon,20,20,50.0,50.0,50,50
72,Coyote hunting in the Antelope Valley,20,20,50.0,50.0,50,50
73,Dove hunting opening day in the Imperial Valley,20,20,50.0,50.0,50,50
74,Bear hunting in the Los Padres National Forest,20,20,50.0,50.0,50,50
75,Wild pig hunt at a ranch near Paso Robles,20,20,50.0,50.0,50,50
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,50.0,50.0,50,50
77,Indoor pistol range day at the LA Gun Club,20,20,50.0,50.0,50,50
78,Trap and skeet shooting at Triple B Clays,20,20,50.75,50.0,50,65
79,Concealed-carry training day in the high desert,20,20,50.0,50.0,50,50
80,Visit a gun show at the Pomona Fairplex,20,20,50.0,50.0,50,50
81,Falconry hunting outing in the Antelope Valley,20,20,64.4,65.0,50,85
82,Slaughterhouse tour and butchery class in Vernon,20,20,43.5,50.0,0,50
83,Industry Hills professional rodeo,20,20,50.0,50.0,50,50
84,Pro Bull Riding event at the Honda Center,20,20,50.5,50.0,50,60
85,Attending a Trump rally in Huntington Beach,20,19,50.0,50.0,50,50
86,Attending a pro-Palestine protest at UCLA,20,13,50.0,50.0,50,50
87,Attending a pro-Israel rally in Beverly Hills,20,16,50.0,50.0,50,50
88,Joining an anti-abortion march at the Federal Building,20,19,50.0,50.0,50,50
89,Joining a Defund-the-Police march in DTLA,20,20,50.0,50.0,50,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,17,50.0,50.0,50,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,49.0,50.0,30,50
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,16,50.0,50.0,50,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,50.0,50.0,50,50
94,Day at the Museum of Death in Hollywood,20,20,50.0,50.0,50,50
95,Strip club crawl in the City of Industry,20,20,45.0,50.0,0,50
96,Adult-film studio tour in the San Fernando Valley,20,20,50.0,50.0,50,50
97,Charreada at Pico Rivera Sports Arena,20,20,69.75,75.0,50,85
98,Bullfight-watching day trip down to Tijuana,20,20,27.5,50.0,0,50
99,BKFC pay-per-view watch party with cigars and steaks,20,20,50.0,50.0,50,50
